claim_id,claim_category,candidate_claim,evidence_status,evidence_tier,phase,source_path,source_field,building_scope,split,model,metric,value,unit,derivation,source_hash,conflict_status,presentation_safe,caveat
CLM-0001,Problem / dataset,Processed hourly row count,EXACT_RECOVERED,A,data,data/processed/campus_hourly_manifest.json,output_rows,,,,Processed hourly row count,17544,hourly rows,,061e47e63d06bad5d638be64040cfd60c8892506e06682f159018894dd9df0c7,NONE,YES,
CLM-0002,Problem / dataset,Buildings represented in frozen Phase 3 selection table,DETERMINISTIC_DERIVED,A,3,outputs/phase3/building_selection.csv,count(data rows),,,,Buildings represented in frozen Phase 3 selection table,1578,buildings,"{""formula"": ""count(data rows)"", ""operands"": [{""path"": ""outputs/phase3/building_selection.csv"", ""rows"": 1578}]}",36a089b8b8ff50193be54c525c5ec0dacb56006fbe4bea876e94b377a0dd629e,NONE,YES,"Supports 1,578 only as the building universe represented by this frozen selection table; do not broaden to an external dataset release without qualification."
CLM-0003,Problem / dataset,Office-building candidates,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,office_candidates,,,,Office-building candidates,296,buildings,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,
CLM-0004,Problem / dataset,Office buildings passing frozen quality rules,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,quality_pass_count,,,,Office buildings passing frozen quality rules,82,buildings,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,
CLM-0005,Problem / dataset,Anchor building non-null observations,EXACT_RECOVERED,A,3,outputs/phase3/run_report.json,selection.non_null_count,Hog_office_Rolando,,,Anchor building non-null observations,17543,hourly observations,,f3dfd5afe5e7475231714bfede9e249a294ddc8b0c3b62fb246c0ade58678927,NONE,YES,
CLM-0006,Problem / dataset,Anchor building missing observations,EXACT_RECOVERED,A,3,outputs/phase3/run_report.json,selection.missing_count,Hog_office_Rolando,,,Anchor building missing observations,1,hourly observations,,f3dfd5afe5e7475231714bfede9e249a294ddc8b0c3b62fb246c0ade58678927,NONE,YES,
CLM-0007,Problem / dataset,Anchor building missing rate,EXACT_RECOVERED,A,3,outputs/phase3/run_report.json,selection.missing_rate,Hog_office_Rolando,,,Anchor building missing rate,5.699954400364797e-05,fraction,,f3dfd5afe5e7475231714bfede9e249a294ddc8b0c3b62fb246c0ade58678927,NONE,YES,
CLM-0008,Multi-building generalization,Final multi-building evaluation scope,DETERMINISTIC_DERIVED,A,7,outputs/phase7/selected_buildings.json,count(selected_buildings),,,,Final multi-building evaluation scope,8,buildings,"{""formula"": ""count(selected_buildings)"", ""operands"": [{""path"": ""outputs/phase7/selected_buildings.json"", ""field"": ""selected_buildings""}]}",0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,
CLM-0009,Problem / dataset,Dataset is Building Data Genome Project 2,EXACT_RECOVERED,A,data,data/processed/campus_hourly_manifest.json,dataset,,,,,,,,061e47e63d06bad5d638be64040cfd60c8892506e06682f159018894dd9df0c7,NONE,YES,
CLM-0010,Problem / dataset,Processed series uses hourly granularity,EXACT_RECOVERED,A,data,data/processed/campus_hourly_manifest.json,load_unit + output_rows,,,,,,kWh per hourly interval,,061e47e63d06bad5d638be64040cfd60c8892506e06682f159018894dd9df0c7,NONE,YES,Phase 9.1 interprets dispatch values as interval-average kW because delta-t is exactly one hour.
CLM-0011,Problem / dataset,Anchor building is Hog_office_Rolando,EXACT_RECOVERED,A,3,outputs/phase3/run_report.json,building,,,,,,,,f3dfd5afe5e7475231714bfede9e249a294ddc8b0c3b62fb246c0ade58678927,NONE,YES,
CLM-0012,Multi-building generalization,Eight fixed office buildings were selected by anchor plus deterministic farthest-point sampling on robust-scaled Train-only morphology,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selection_method + selected_buildings,8 fixed office buildings,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,
CLM-0013,Multi-building generalization,Selected building: Hog_office_Rolando,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[0],Hog_office_Rolando,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,Phase 3–6 canonical anchor; passed the same frozen quality rules
CLM-0014,Multi-building generalization,Selected building: Hog_office_Lavon,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[1],Hog_office_Lavon,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: high peak_to_average_ratio, high daily_profile_variability_normalized, high normalized_peak_valley_range"
CLM-0015,Multi-building generalization,Selected building: Hog_office_Joey,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[2],Hog_office_Joey,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: high robust_outlier_fraction, low lag168_autocorrelation, high log_mean_load"
CLM-0016,Multi-building generalization,Selected building: Lamb_office_Caitlin,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[3],Lamb_office_Caitlin,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: high daily_profile_variability_normalized, high robust_outlier_fraction, high coefficient_of_variation"
