traceability_key,slide_id,claim_id,evidence_id,metric_id,source_phase,source_file,source_location,figure_asset,exact_number_used,wording_strength,verification_status
M01-F01,SB-M01,CORE-01,CLM-0021,MET-002,4.5,outputs/phase4_5/final_config.json,forecast_horizon_hours,,24 hours,"approved task positioning",VERIFIED
M02-F01,SB-M02,CORE-02,CLM-2482,MET-003,9,outputs/phase9/final_benchmark.csv,row[4].normalized_rmse_mean,outputs/phase13_1/figures/sci_01_forecast_decision_mismatch.png,0.2167511842160507,"project-scoped observed mismatch",VERIFIED
M02-F02,SB-M02,CORE-02,CLM-2472,MET-004,9,outputs/phase9/final_benchmark.csv,row[3].normalized_rmse_mean,outputs/phase13_1/figures/sci_01_forecast_decision_mismatch.png,0.2169419587841403,"project-scoped observed mismatch",VERIFIED
M02-F03,SB-M02,CORE-02,CLM-2484,MET-005,9,outputs/phase9/final_benchmark.csv,row[4].normalized_decision_regret_mean,outputs/phase13_1/figures/sci_01_forecast_decision_mismatch.png,0.1175341513618143,"project-scoped observed mismatch",VERIFIED
M02-F04,SB-M02,CORE-02,CLM-2474,MET-006,9,outputs/phase9/final_benchmark.csv,row[3].normalized_decision_regret_mean,outputs/phase13_1/figures/sci_01_forecast_decision_mismatch.png,0.116126784093835,"project-scoped observed mismatch",VERIFIED
M03-F01,SB-M03,CORE-01,CLM-0021,MET-002,4.5,outputs/phase4_5/final_config.json,forecast_horizon_hours,outputs/phase13_1/presentation_assets/con_01_prediction_decision_bridge.png,24 hours,"approved task fact",VERIFIED
M03-F02,SB-M03,SUP-06,CLM-2548,,9,outputs/phase9/final_algorithm.json,battery_evaluation.frozen_constraints,outputs/phase13_1/presentation_assets/con_01_prediction_decision_bridge.png,,"approved protocol fact",VERIFIED
M04-F01,SB-M04,CORE-03,CLM-2526,,8,outputs/phase8/run_config.json,selection_protocol, ,,"approved method distinction",VERIFIED
M05-F01,SB-M05,CORE-05,CLM-2532,,9,outputs/phase9/final_algorithm.json,formula,outputs/phase13_1/architecture/doef_architecture_master.png,,"approved algorithm definition",VERIFIED
M05-F02,SB-M05,SUP-03,CLM-2526,,9.1,outputs/phase9_1/final_reporting_summary.json,selection_protocol,outputs/phase13_1/architecture/doef_architecture_master.png,,"approved selection boundary",VERIFIED
M06-F01,SB-M06,CORE-06,CLM-2550,MET-011,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_mae_relative_improvement_pct,outputs/phase13_1/figures/sci_02_doef_main_results.png,6.358502841800696%,"approved aggregate result",VERIFIED
M06-F02,SB-M06,CORE-07,CLM-2551,MET-014,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_regret_relative_improvement_pct,outputs/phase13_1/figures/sci_02_doef_main_results.png,3.6146701543680733%,"approved aggregate result",VERIFIED
M06-F03,SB-M06,CORE-07,CLM-2552,MET-015,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.wins,outputs/phase13_1/figures/sci_02_doef_main_results.png,6 buildings,"approved building comparison",VERIFIED
M06-F04,SB-M06,CORE-07,CLM-2553,MET-016,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.ties,outputs/phase13_1/figures/sci_02_doef_main_results.png,2 buildings,"approved building comparison",VERIFIED
M06-F05,SB-M06,CORE-07,CLM-2554,MET-017,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.losses,outputs/phase13_1/figures/sci_02_doef_main_results.png,0 buildings,"approved building comparison",VERIFIED
M06-F06,SB-M06,CORE-08,CLM-2508,MET-019,9,outputs/phase9/final_benchmark.csv,row[6].peak_reduction_min_pct,outputs/phase13_1/figures/sci_02_doef_main_results.png,-1.0170484967146218%,"approved negative-result disclosure",VERIFIED
M07-F01,SB-M07,SUP-06,CLM-2548,,9.1,outputs/phase9_1/final_reporting_summary.json,metric_dictionary.normalized_mean_daily_decision_regret_vs_oracle,,,"metric definition; no causal extension",VERIFIED
M08-F01,SB-M08,CORE-04,CLM-0008,MET-001,7,outputs/phase7/selected_buildings.json,count(selected_buildings),outputs/phase13_1/figures/sci_03_multibuilding_regret.png,8 buildings,"fixed-scope count",VERIFIED
M08-F02,SB-M08,CORE-07,CLM-2552,MET-015,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.wins,outputs/phase13_1/figures/sci_03_multibuilding_regret.png,6 buildings,"approved fixed-building result",VERIFIED
M08-F03,SB-M08,CORE-07,CLM-2553,MET-016,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.ties,outputs/phase13_1/figures/sci_03_multibuilding_regret.png,2 buildings,"approved fixed-building result",VERIFIED
M08-F04,SB-M08,CORE-07,CLM-2554,MET-017,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.losses,outputs/phase13_1/figures/sci_03_multibuilding_regret.png,0 buildings,"approved fixed-building result",VERIFIED
M09-F01,SB-M09,CORE-03,CLM-2526,MET-023,8,outputs/phase8/run_config.json,count(candidate_weights),outputs/phase13_1/figures/sci_04_validation_weight_selection.png,11 weights,"approved selection protocol",VERIFIED
M09-F02,SB-M09,CORE-03,CLM-2532,,13.1,outputs/phase13_1/manifests/visual_asset_manifest.json,assets[SCI-04-validation-weight-selection].supports_claim,outputs/phase13_1/figures/sci_04_validation_weight_selection.png,6 of 8 buildings,"approved asset-level summary",VERIFIED
M10-F01,SB-M10,SUP-02,CLM-0021,MET-002,4.5,outputs/phase4_5/final_config.json,forecast_horizon_hours,outputs/phase13_1/architecture/doef_architecture_master_transparent.png,24 hours,"approved causal workflow",VERIFIED
M10-F02,SB-M10,CORE-05,CLM-2532,,9,outputs/phase9/final_algorithm.json,freeze_status,outputs/phase13_1/architecture/doef_architecture_master_transparent.png,,"approved frozen-workflow fact",VERIFIED
M11-F01,SB-M11,CORE-05,CLM-2532,,13.0B,outputs/phase13_0b/phase13_0b_summary.json,innovation_positioning,outputs/phase13_1/presentation_assets/con_02_contribution_overview.png,3 contribution statements,"project contribution; no external novelty priority",VERIFIED
