metric_id,metric_name,value,unit,scope,building,split,method,aggregation,source_phase,source_file,source_field,canonical_status,used_in_ppt,ppt_slide,notes
P9_DAY_PERSISTENCE_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.2258845988864577,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Day Persistence,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Day Persistence).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAY_PERSISTENCE_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.4301930787029329,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Day Persistence,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Day Persistence).normalized_rmse_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAY_PERSISTENCE_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.1629860984277617,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Day Persistence,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Day Persistence).normalized_decision_regret_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAY_PERSISTENCE_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,-1.8784522306447489,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Day Persistence,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Day Persistence).peak_reduction_mean_pct,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAY_PERSISTENCE_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,0.6351631356196247,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Day Persistence,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=Day Persistence).peak_reduction_median_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_DAY_PERSISTENCE_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-11.568875080690914,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Day Persistence,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=Day Persistence).peak_reduction_min_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_WEEK_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.2015782033719362,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Week,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Week).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_WEEK_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.3284141789770246,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Week,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Week).normalized_rmse_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_WEEK_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.144323002826905,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Week,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Week).normalized_decision_regret_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_WEEK_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,3.085462929586199,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Week,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Week).peak_reduction_mean_pct,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
