building,non_null_count,missing_count,missing_rate,mean,std,min,max,zero_ratio,negative_count,obvious_extreme,train_non_null,validation_non_null,test_non_null,screening_score,selected,selection_score,train_daily_autocorrelation,train_weekly_autocorrelation,train_robust_extreme_rate,train_cv
Hog_office_Rolando,17543,1,5.699954400364797e-05,309.8665564612666,164.71748888141948,51.0,853.0,0.0,0,False,16079,720,744,88.98339674200923,True,99.68028958884172,0.9907783567975552,0.9731213474763276,0.0,0.5610047762164591
Robin_education_Lashandra,17544,0,0.0,167.11157385430917,146.02982933034252,0.0203,591.0,0.0,0,False,16080,720,744,91.5538471975161,False,99.5092730566316,0.9878178516862477,0.9548733214071338,0.0,0.8726523711988845
Hog_office_Gustavo,17544,0,0.0,531.2696134290926,357.83896902252974,19.3355,1205.446,0.0,0,False,16080,720,744,90.0516577644002,False,99.43936130925002,0.9722018688537066,0.9715783931438255,0.0,0.712270329625076
Robin_education_Karyl,17544,0,0.0,62.12904809621522,46.79212443178761,0.0069999999999999,195.375,0.0,0,False,16080,720,744,90.64858055920844,False,99.10561057726643,0.9604696474791036,0.9466319978370187,0.0,0.7999782470215794
Robin_lodging_Janie,17544,0,0.0,118.7833542122663,61.41458717263872,9.1037,304.738,0.0,0,False,16080,720,744,88.87772686542998,False,98.93144586314133,0.9706699883723866,0.9064094677981998,0.0,0.5366402399510812
Hog_industrial_Mariah,17544,0,0.0,16.56157147742818,5.998823498017927,0.4970000000000001,36.976,0.0,0,False,16080,720,744,87.71660067382211,False,98.76152365160596,0.9505252406697299,0.9173277524312453,0.0,0.36503864961772314
Robin_office_Lindsay,17544,0,0.0,45.64076044231646,30.287560461696096,3.9419,134.875,0.0,0,False,16080,720,744,89.97705781545457,False,98.65529863244504,0.9415835942766211,0.918067160531636,0.0,0.7006215473454633
Hog_office_Eloise,17543,1,5.699954400364797e-05,324.82424357293513,48.97375494747352,99.29,506.047,0.0,0,False,16079,720,744,86.12735511380612,False,98.56137425458391,0.9117199684170961,0.9556966168760515,0.0,0.15180124836269654
Hog_office_Lizzie,17544,0,0.0,89.46052884176926,35.0685059813087,18.4435,166.928,0.0,0,False,16080,720,744,87.93999821222847,False,98.44616210089896,0.9289825688185508,0.911183998755609,0.0,0.400871314456353
Hog_parking_Jean,17544,0,0.0,56.59775108299133,43.8804624532475,8.769,192.692,0.0,0,False,16080,720,744,90.81477995330204,False,98.33265940376228,0.9631490096815948,0.8391062376989783,0.0,0.8043677989285698
