feature,importance
current_load,3346966941.09227
lag_1,200208006.98686218
day_of_year,20882708.99055481
day_of_week,10324873.636741638
lag_72,6670930.483898163
dow_cos,4684406.673484802
rolling_mean_24,3517553.013267517
rolling_min_24,2113856.891357422
rolling_std_24,1837618.0833845139
hour,1580347.3703460693
lag_168,1557761.4634284973
rolling_max_24,1516257.0660552979
rolling_mean_168,1406191.7828674316
lag_48,1358682.0171966553
month,1210997.986694336
rolling_std_168,1176400.357383728
lag_24,684463.77684021
dow_sin,677630.6289291382
hour_cos,534170.4002170563
lag_2,469740.90887260437
lag_3,341084.496925354
month_cos,334226.6291732788
month_sin,229425.40730667114
hour_sin,126163.84851837158
is_weekend,26925.367126464844
