split,hour,sample_count,MAE,RMSE,bias
test,0,30,11.57070894473367,16.807615128108477,9.397172810878578
test,1,30,12.479622915406487,17.215941459187462,10.827324699218131
test,2,30,13.084400991505479,18.156068314302765,12.439261536230175
test,3,30,9.378430606318679,13.81305377062724,8.626594929892198
test,4,30,10.602730950567203,14.76257168589267,9.861394618378718
test,5,30,10.93778856525778,15.446231729482617,10.228098529200963
test,6,30,11.598402142400774,16.156938786943524,10.562963690875115
test,7,30,11.688384830286724,16.625303440125812,9.59573962551634
test,8,30,12.682269912676512,18.681169680798074,9.48045478227261
test,9,30,12.853683777190932,18.040571005499107,9.766741239438355
test,10,30,13.175822012710595,19.765698092984106,9.29722074218638
test,11,30,12.102814678984057,20.087798984774935,8.636610710828341
test,12,30,11.016955532518853,18.78876103936081,7.330652234850989
test,13,30,11.459868531966272,18.559804359461726,7.346529281923051
test,14,30,12.012199961018844,18.745326476981546,7.312288419819906
test,15,30,12.67825697097115,18.814474823440314,6.956801652891651
test,16,30,12.280521544653832,17.96002544110363,7.17616322693055
test,17,30,10.48818808361733,16.559490079405077,5.873257954771704
test,18,30,10.390422531692849,16.33089714811061,6.497884363582203
test,19,30,10.20816040489329,16.015781837236183,6.800676273202005
test,20,30,11.05182097732595,17.009572377385137,7.6093027070006904
test,21,30,10.7325059936862,16.14522993965614,7.904145786582737
test,22,30,12.009099829470992,17.219952129599776,9.877473607492476
test,23,30,11.587519895520835,16.817442439871645,9.135389473737002
validation,0,30,4.82672884182398,6.028981490608009,1.609983410919879
validation,1,30,4.488908944616188,5.746346118832507,0.8415982693272629
validation,2,30,19.34126771183304,73.55222552511447,-11.002056456542391
validation,3,30,4.578001120257511,5.855476712643751,0.2641221983857046
validation,4,30,4.048090664855442,4.940342437395771,0.9207903537519314
validation,5,30,3.579377322921706,4.3383287612366885,0.5103964923383046
validation,6,30,3.8868723509569234,4.853654442145029,1.2887611563250327
validation,7,30,4.836611151640644,6.358938926240837,0.7806854467785759
validation,8,30,7.436391081105074,9.969136884463659,2.6258503179188493
validation,9,30,8.010838999906555,11.631257336517292,0.7439309157080136
validation,10,30,8.866803371271345,13.554479038903896,2.0089964916949894
validation,11,30,9.719003951972638,15.189874505558532,0.7852944722649379
validation,12,30,9.19786155363417,14.391707783556923,0.759928976229323
validation,13,30,8.163672630229168,13.950089967470653,0.6973821379308315
validation,14,30,9.434870706417971,15.097557935023486,0.03151775689945945
validation,15,30,9.273414436435806,15.02160922543084,-0.37061918249090503
validation,16,30,8.403914930208886,14.946750135002732,-0.44480552384691807
validation,17,30,9.223725719476578,14.070745115687084,-0.7165267101979471
validation,18,30,8.285967975304883,12.862496493468143,0.03696511533598444
validation,19,30,7.850927131449705,10.901256717855386,-0.964170629009855
validation,20,30,8.046392737309665,10.694246977788222,-0.5564627679915475
validation,21,30,7.124177577659302,9.786854762757917,1.094982326177571
validation,22,30,7.4936942056423765,9.61824458700323,1.706922043188725
validation,23,30,7.152679690293839,9.16775491923963,1.3063336208145548
