feature,gain_importance,split_importance
current_load,4160583928.1791534,742
lag_1,1628015864.5176392,216
lag_2,101827738.30804443,53
day_of_year,32080860.75820923,872
rolling_max_24,22729158.820983887,302
day_of_week,15487389.046936035,621
lag_72,9881935.39440918,435
dow_cos,8316709.100952148,325
week_of_year,7875968.038787842,224
lag_48,3719396.1559906006,301
lag_168,3500051.7179260254,222
hour,2481916.1130828857,280
lag_336,2449633.3583068848,406
rolling_min_24,2359724.4485473633,499
rolling_mean_24,1988409.4621887207,296
dow_sin,1890162.6120300293,141
rolling_mean_48,1860132.0350952148,449
rolling_std_24,1837944.7496490479,351
rolling_mean_168,1630858.3360595703,435
day_of_month,1594799.9210510254,376
hour_cos,1428696.2045288086,188
rolling_std_168,1379862.56980896,408
month,1097041.17288208,71
lag_24,719872.1272888184,164
rolling_mean_3,633076.9262084961,50
month_cos,559561.8313293457,140
rolling_mean_6,342976.77673339844,65
month_sin,302319.28482055664,75
hour_sin,298618.7364807129,106
lag_3,188197.5030822754,54
is_weekend,43637.166931152344,13
