split,feature_timestamp,target_timestamp,y_true,y_pred,error,abs_error,hour,day_of_week
test,2017-12-24 11:00:00,2017-12-25 11:00:00,385.0,458.91295156634095,73.91295156634095,73.91295156634095,11,0
test,2017-12-24 14:00:00,2017-12-25 14:00:00,389.0,459.2894275265168,70.28942752651682,70.28942752651682,14,0
test,2017-12-24 12:00:00,2017-12-25 12:00:00,388.0,457.9216059317483,69.92160593174827,69.92160593174827,12,0
test,2017-12-24 15:00:00,2017-12-25 15:00:00,387.0,455.2965105834999,68.29651058349992,68.29651058349992,15,0
test,2017-12-24 13:00:00,2017-12-25 13:00:00,390.0,457.38177732045614,67.38177732045614,67.38177732045614,13,0
test,2017-12-24 16:00:00,2017-12-25 16:00:00,390.0,454.8579612127231,64.85796121272313,64.85796121272313,16,0
test,2017-12-24 17:00:00,2017-12-25 17:00:00,390.0,452.72767214299984,62.727672142999836,62.727672142999836,17,0
test,2017-12-24 10:00:00,2017-12-25 10:00:00,385.0,447.3152764914917,62.315276491491716,62.315276491491716,10,0
test,2017-12-24 18:00:00,2017-12-25 18:00:00,387.0,448.27706015102837,61.277060151028365,61.277060151028365,18,0
test,2017-12-25 10:00:00,2017-12-26 10:00:00,385.0,440.6386046989893,55.6386046989893,55.6386046989893,10,1
test,2017-12-24 20:00:00,2017-12-25 20:00:00,383.0,437.8614431964125,54.861443196412495,54.861443196412495,20,0
test,2017-12-25 12:00:00,2017-12-26 12:00:00,393.0,447.2900774824436,54.29007748244362,54.29007748244362,12,1
test,2017-12-25 11:00:00,2017-12-26 11:00:00,392.0,445.9880891363285,53.98808913632848,53.98808913632848,11,1
test,2017-12-25 08:00:00,2017-12-26 08:00:00,381.0,432.9142182629497,51.9142182629497,51.9142182629497,8,1
test,2017-12-24 19:00:00,2017-12-25 19:00:00,386.0,436.98760605723913,50.987606057239134,50.987606057239134,19,0
test,2017-12-24 09:00:00,2017-12-25 09:00:00,384.0,431.74476678859287,47.74476678859287,47.74476678859287,9,0
test,2017-12-25 09:00:00,2017-12-26 09:00:00,381.0,428.2285775811339,47.22857758113389,47.22857758113389,9,1
test,2017-12-26 08:00:00,2017-12-27 08:00:00,385.0,430.9298752005848,45.929875200584775,45.929875200584775,8,2
test,2017-12-24 21:00:00,2017-12-25 21:00:00,383.0,428.2102941578112,45.21029415781118,45.21029415781118,21,0
test,2017-12-26 00:00:00,2017-12-27 00:00:00,385.0,430.10460008125983,45.10460008125983,45.10460008125983,0,2
validation,2017-11-04 02:00:00,2017-11-05 02:00:00,807.0,407.1409047512191,-399.8590952487809,399.8590952487809,2,6
validation,2017-11-22 16:00:00,2017-11-23 16:00:00,419.0,477.42236483897875,58.42236483897875,58.42236483897875,16,3
validation,2017-11-22 14:00:00,2017-11-23 14:00:00,420.0,475.86236695465146,55.86236695465146,55.86236695465146,14,3
validation,2017-11-22 15:00:00,2017-11-23 15:00:00,422.0,476.6885241155458,54.68852411554582,54.68852411554582,15,3
validation,2017-11-22 13:00:00,2017-11-23 13:00:00,424.0,473.4199431982585,49.41994319825852,49.41994319825852,13,3
validation,2017-11-22 17:00:00,2017-11-23 17:00:00,417.0,465.3411596356066,48.34115963560657,48.34115963560657,17,3
validation,2017-11-22 11:00:00,2017-11-23 11:00:00,423.0,471.07019280015203,48.07019280015203,48.07019280015203,11,3
validation,2017-11-22 10:00:00,2017-11-23 10:00:00,414.0,460.11558865917567,46.11558865917567,46.11558865917567,10,3
validation,2017-11-22 18:00:00,2017-11-23 18:00:00,416.0,459.7139096800878,43.713909680087795,43.713909680087795,18,3
validation,2017-11-26 11:00:00,2017-11-27 11:00:00,471.0,428.2653549442772,-42.73464505572281,42.73464505572281,11,0
validation,2017-11-22 12:00:00,2017-11-23 12:00:00,428.0,470.4932832729549,42.4932832729549,42.4932832729549,12,3
validation,2017-11-05 15:00:00,2017-11-06 15:00:00,481.0,442.4663484131338,-38.5336515868662,38.5336515868662,15,0
validation,2017-11-22 19:00:00,2017-11-23 19:00:00,415.0,453.3079130824407,38.30791308244068,38.30791308244068,19,3
validation,2017-11-26 12:00:00,2017-11-27 12:00:00,471.0,433.43630740466256,-37.56369259533744,37.56369259533744,12,0
validation,2017-11-22 09:00:00,2017-11-23 09:00:00,413.0,448.95941671498565,35.95941671498565,35.95941671498565,9,3
validation,2017-11-22 20:00:00,2017-11-23 20:00:00,409.0,444.4729456515222,35.472945651522195,35.472945651522195,20,3
validation,2017-11-26 10:00:00,2017-11-27 10:00:00,458.0,422.62619466292966,-35.37380533707034,35.37380533707034,10,0
validation,2017-11-22 21:00:00,2017-11-23 21:00:00,406.0,441.3577938357521,35.35779383575209,35.35779383575209,21,3
validation,2017-11-05 18:00:00,2017-11-06 18:00:00,465.0,430.40580103435985,-34.594198965640146,34.594198965640146,18,0
validation,2017-11-05 16:00:00,2017-11-06 16:00:00,478.0,443.8388757895032,-34.16112421049678,34.16112421049678,16,0
