date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-02,No Battery,None,426.0000000000,426.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-03,No Battery,None,432.0000000000,432.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-04,No Battery,None,465.0000000000,465.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-05,No Battery,None,471.0000000000,471.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-06,No Battery,None,475.0000000000,475.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-07,No Battery,None,483.0000000000,483.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-08,No Battery,None,483.0000000000,483.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-09,No Battery,None,432.0000000000,432.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-10,No Battery,None,429.0000000000,429.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-11,No Battery,None,469.0000000000,469.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-12,No Battery,None,468.0000000000,468.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-13,No Battery,None,477.0000000000,477.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-14,No Battery,None,471.0000000000,471.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-15,No Battery,None,476.0000000000,476.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-16,No Battery,None,425.0000000000,425.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-17,No Battery,None,423.0000000000,423.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-18,No Battery,None,462.0000000000,462.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-19,No Battery,None,467.0000000000,467.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-20,No Battery,None,461.0000000000,461.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-21,No Battery,None,460.0000000000,460.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
