category,rank,date,lgbm_forecast_mae,persistence_forecast_mae,lgbm_decision_regret,persistence_decision_regret,decision_regret_improvement
largest LightGBM decision regret,1,2017-12-22,16.1377560356,18.7916666667,28.0547274705,29.1107586882,1.0560312177
largest LightGBM decision regret,2,2017-12-27,31.1893334935,14.1666666667,23.6285948902,14.4356185029,-9.1929763873
largest LightGBM decision regret,3,2017-12-25,50.4218247728,3.9166666667,21.6158461117,3.9342105263,-17.6816355854
largest Persistence decision regret,1,2017-12-02,6.9047031089,25.1250000000,11.0576389674,34.1277533040,23.0701143366
largest Persistence decision regret,2,2017-12-11,2.9878143204,20.2916666667,7.1692713793,30.3222814746,23.1530100953
largest Persistence decision regret,3,2017-12-22,16.1377560356,18.7916666667,28.0547274705,29.1107586882,1.0560312177
largest LightGBM improvement over Persistence,1,2017-12-11,2.9878143204,20.2916666667,7.1692713793,30.3222814746,23.1530100953
largest LightGBM improvement over Persistence,2,2017-12-02,6.9047031089,25.1250000000,11.0576389674,34.1277533040,23.0701143366
largest LightGBM improvement over Persistence,3,2017-12-18,3.5972139241,20.7500000000,6.2836004343,26.2951541850,20.0115537507
largest LightGBM deterioration versus Persistence,1,2017-12-25,50.4218247728,3.9166666667,21.6158461117,3.9342105263,-17.6816355854
largest LightGBM deterioration versus Persistence,2,2017-12-27,31.1893334935,14.1666666667,23.6285948902,14.4356185029,-9.1929763873
largest LightGBM deterioration versus Persistence,3,2017-12-29,12.0159504239,2.9166666667,13.4309990713,5.8097733271,-7.6212257442
