multiplier,is_phase5_baseline,controller,capacity_kwh,max_charge_power_kw,max_discharge_power_kw,round_trip_efficiency,mean_realized_peak_kw,max_realized_peak_kw,mean_peak_reduction_kw,mean_peak_reduction_pct,mean_decision_regret_kw,total_charge_energy_kwh,total_discharge_energy_kwh,baseline_max_abs_difference
0.5000000000,False,Persistence,366.3887497592,183.1943748796,183.1943748796,0.9000000000,436.4888823906,466.8421052632,6.2444509428,1.2810584159,13.9735223123,4421.6103437685,3979.4493093917,0.0000000000
0.5000000000,False,LightGBM,366.3887497592,183.1943748796,183.1943748796,0.9000000000,432.4814459707,455.8495454850,10.2518873626,2.1693033413,9.9660858924,4216.6345155012,3794.9710639511,0.0000000000
0.5000000000,False,Oracle,366.3887497592,183.1943748796,183.1943748796,0.9000000000,422.5153600783,447.8062680150,20.2179732550,4.4479560858,0.0000000000,4228.3400034181,3805.5060030763,0.0000000000
0.7500000000,False,Persistence,549.5831246388,183.1943748796,183.1943748796,0.9000000000,434.8701652340,466.8421052632,7.8631680993,1.6294100988,14.3346848421,5152.7333073641,4637.4599766277,0.0000000000
0.7500000000,False,LightGBM,549.5831246388,183.1943748796,183.1943748796,0.9000000000,430.8362286780,451.2604385215,11.8971046553,2.5188424064,10.3007482862,4870.3144998024,4383.2830498222,0.0000000000
0.7500000000,False,Oracle,549.5831246388,183.1943748796,183.1943748796,0.9000000000,420.5354803919,442.6946961401,22.1978529414,4.8686742997,0.0000000000,4900.9280832613,4410.8352749352,0.0000000000
1.0000000000,True,Persistence,732.7774995184,183.1943748796,183.1943748796,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
1.0000000000,True,LightGBM,732.7774995184,183.1943748796,183.1943748796,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
1.0000000000,True,Oracle,732.7774995184,183.1943748796,183.1943748796,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
1.2500000000,False,Persistence,915.9718743980,183.1943748796,183.1943748796,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
1.2500000000,False,LightGBM,915.9718743980,183.1943748796,183.1943748796,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
1.2500000000,False,Oracle,915.9718743980,183.1943748796,183.1943748796,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
1.5000000000,False,Persistence,1099.1662492776,183.1943748796,183.1943748796,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
1.5000000000,False,LightGBM,1099.1662492776,183.1943748796,183.1943748796,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
1.5000000000,False,Oracle,1099.1662492776,183.1943748796,183.1943748796,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153708,4533.1595238338,0.0000000000
