multiplier,is_phase5_baseline,controller,capacity_kwh,max_charge_power_kw,max_discharge_power_kw,round_trip_efficiency,mean_realized_peak_kw,max_realized_peak_kw,mean_peak_reduction_kw,mean_peak_reduction_pct,mean_decision_regret_kw,total_charge_energy_kwh,total_discharge_energy_kwh,baseline_max_abs_difference
0.5000000000,False,Persistence,732.7774995184,91.5971874398,91.5971874398,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
0.5000000000,False,LightGBM,732.7774995184,91.5971874398,91.5971874398,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
0.5000000000,False,Oracle,732.7774995184,91.5971874398,91.5971874398,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
0.7500000000,False,Persistence,732.7774995184,137.3957811597,137.3957811597,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
0.7500000000,False,LightGBM,732.7774995184,137.3957811597,137.3957811597,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
0.7500000000,False,Oracle,732.7774995184,137.3957811597,137.3957811597,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
1.0000000000,True,Persistence,732.7774995184,183.1943748796,183.1943748796,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
1.0000000000,True,LightGBM,732.7774995184,183.1943748796,183.1943748796,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
1.0000000000,True,Oracle,732.7774995184,183.1943748796,183.1943748796,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
1.2500000000,False,Persistence,732.7774995184,228.9929685995,228.9929685995,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
1.2500000000,False,LightGBM,732.7774995184,228.9929685995,228.9929685995,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
1.2500000000,False,Oracle,732.7774995184,228.9929685995,228.9929685995,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
1.5000000000,False,Persistence,732.7774995184,274.7915623194,274.7915623194,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
1.5000000000,False,LightGBM,732.7774995184,274.7915623194,274.7915623194,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
1.5000000000,False,Oracle,732.7774995184,274.7915623194,274.7915623194,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
