date,lgbm_forecast_mae,lgbm_forecast_rmse,lgbm_forecast_mape,lgbm_realized_peak,lgbm_peak_reduction,lgbm_peak_reduction_pct,lgbm_charge_energy,lgbm_discharge_energy,lgbm_soc_min,lgbm_soc_max,lgbm_objective_value,persistence_forecast_mae,persistence_forecast_rmse,persistence_forecast_mape,persistence_realized_peak,persistence_peak_reduction,persistence_peak_reduction_pct,persistence_charge_energy,persistence_discharge_energy,persistence_soc_min,persistence_soc_max,persistence_objective_value,oracle_forecast_mae,oracle_forecast_rmse,oracle_forecast_mape,oracle_realized_peak,oracle_peak_reduction,oracle_peak_reduction_pct,oracle_charge_energy,oracle_discharge_energy,oracle_soc_min,oracle_soc_max,oracle_objective_value,baseline_peak,lgbm_decision_regret,lgbm_peak_reduction_regret,persistence_decision_regret,persistence_peak_reduction_regret,lgbm_mae,lgbm_rmse,persistence_mae,persistence_rmse
2017-12-02,6.9047031089,7.6390629873,1.6543731510,427.0752601127,-1.0752601127,-0.2524084772,127.1652521461,114.4487269315,356.8075976856,477.4471484890,420.0733365737,25.1250000000,31.3402031476,5.9945382884,450.1453744493,-24.1453744493,-5.6679282745,284.8898678414,256.4008810573,332.7710913913,603.0413507962,441.1459157401,0.0000000000,0.0000000000,0.0000000000,416.0176211454,9.9823788546,2.3432814213,64.2290748899,57.8061674009,351.1429494452,409.9863892538,416.0177431806,426.0000000000,11.0576389674,11.0576389674,34.1277533040,34.1277533040,6.9047031089,7.6390629873,25.1250000000,31.3402031476
2017-12-03,4.9508037784,5.5498038193,1.1849913578,422.8470098289,9.1529901711,2.1187477248,85.0537355793,76.5483620214,358.6912470575,439.3803054383,413.4941303480,4.3750000000,5.7915167846,1.0424695485,427.0176211454,4.9823788546,1.1533284386,64.2290748899,57.8061674009,351.1429494452,409.9863892538,416.0177431806,0.0000000000,0.0000000000,0.0000000000,417.8201754386,14.1798245614,3.2823667966,86.8421052632,78.1578947368,366.3887497592,448.7744045899,417.8203404386,432.0000000000,5.0268343903,5.0268343903,9.1974457068,9.1974457068,4.9508037784,5.5498038193,4.3750000000,5.7915167846
2017-12-04,6.9538171438,7.7692801377,1.6243565412,445.6629787220,19.3370212780,4.1584991996,265.7667184586,239.1900466127,342.4461177035,594.5745646829,432.7146299552,19.4583333333,23.2352103498,4.3798086334,459.8201754386,5.1798245614,1.1139407659,86.8421052632,78.1578947368,366.3887497592,448.7744045899,417.8203404386,0.0000000000,0.0000000000,0.0000000000,432.9868995633,32.0131004367,6.8845377283,276.8558951965,249.1703056769,365.4524946266,628.1010583664,432.9874255895,465.0000000000,12.6760791587,12.6760791587,26.8332758753,26.8332758753,6.9538171438,7.7692801377,19.4583333333,23.2352103498
2017-12-05,5.2164803196,5.9777607883,1.1967047473,450.9540102204,20.0459897796,4.2560487855,243.1132501627,218.8019251464,340.3844265434,571.0219065075,439.5242378401,9.5833333333,10.9810442734,2.2145941941,454.9868995633,16.0131004367,3.3998090099,276.8558951965,249.1703056769,365.4524946266,628.1010583664,432.9874255895,0.0000000000,0.0000000000,0.0000000000,440.9559471366,30.0440528634,6.3787798012,249.4273127753,224.4845814978,331.4128443786,568.0403700862,440.9564210485,471.0000000000,9.9980630839,9.9980630839,14.0309524268,14.0309524268,5.2164803196,5.9777607883,9.5833333333,10.9810442734
2017-12-06,4.5464291837,5.3940216922,1.0525680957,451.2604385215,23.7395614785,4.9978024165,252.5023915647,227.2521524082,336.9623805766,576.5071821718,442.0480845385,5.0000000000,5.6935636175,1.1448889996,453.9559471366,21.0440528634,4.4303269186,249.4273127753,224.4845814978,331.4128443786,568.0403700862,440.9564210485,0.0000000000,0.0000000000,0.0000000000,440.4247787611,34.5752212389,7.2789939450,261.9469026549,235.7522123894,313.5479296005,562.0525811253,440.4252764602,475.0000000000,10.8356597605,10.8356597605,13.5311683755,13.5311683755,4.5464291837,5.3940216922,5.0000000000,5.6935636175
2017-12-07,4.0312113584,4.8592239695,0.9371701095,448.3542067712,34.6457932288,7.1730420764,261.8354763215,235.6519286894,325.4894997747,573.8884429981,442.3098515303,5.2500000000,5.7735026919,1.2080073150,449.4247787611,33.5752212389,6.9513915609,261.9469026549,235.7522123894,313.5479296005,562.0525811253,440.4252764602,0.0000000000,0.0000000000,0.0000000000,440.6150442478,42.3849557522,8.7753531578,307.6106194690,276.8495575221,324.2101224193,616.0351794126,440.6156287080,483.0000000000,7.7391625234,7.7391625234,8.8097345133,8.8097345133,4.0312113584,4.8592239695,5.2500000000,5.7735026919
2017-12-08,4.7076089175,5.6457742716,1.0624391168,450.1647720908,32.8352279092,6.7981838321,293.9404764364,264.5464287928,315.5828003613,594.4392209776,436.9856659649,3.8750000000,4.5780272316,0.8894885464,448.6150442478,34.3849557522,7.1190384580,307.6106194690,276.8495575221,324.2101224193,616.0351794126,440.6156287080,0.0000000000,0.0000000000,0.0000000000,441.4493392070,41.5506607930,8.6026212822,297.8414096916,268.0572687225,304.9165795785,587.4737504207,441.4499051057,483.0000000000,8.7154328837,8.7154328837,7.1657050407,7.1657050407,4.7076089175,5.6457742716,3.8750000000,4.5780272316
2017-12-09,4.0565650663,5.0144238677,0.9754875187,423.6828967178,8.3171032822,1.9252553894,108.2228746076,97.4005871468,355.6203105084,458.2895441156,418.8654665971,24.2916666667,31.2629972971,5.7820703288,441.4493392070,-9.4493392070,-2.1873470387,297.8414096916,268.0572687225,304.9165795785,587.4737504207,441.4499051057,0.0000000000,0.0000000000,0.0000000000,416.2444444444,15.7555555556,3.6471193416,78.6666666667,70.8000000000,363.6434242646,437.4767515598,416.2445939111,432.0000000000,7.4384522734,7.4384522734,25.2048947626,25.2048947626,4.0565650663,5.0144238677,24.2916666667,31.2629972971
2017-12-10,3.3766461363,4.4931075752,0.8056694341,424.1932132151,4.8067867849,1.1204631200,80.9977745655,72.8979971090,359.1527093816,435.9939452912,412.9028322400,3.2083333333,3.9210967853,0.7667119931,424.2444444444,4.7555555556,1.1085211085,78.6666666667,70.8000000000,363.6434242646,437.4767515598,416.2445939111,0.0000000000,0.0000000000,0.0000000000,415.8421052632,13.1578947368,3.0671083303,92.1052631579,82.8947368421,365.5898585608,452.9685833813,415.8422802632,429.0000000000,8.3511079519,8.3511079519,8.4023391813,8.4023391813,3.3766461363,4.4931075752,3.2083333333,3.9210967853
2017-12-11,2.9878143204,3.9738095680,0.6858873200,443.6890951678,25.3109048322,5.3967814141,282.1643682028,253.9479313825,342.6826532632,610.3672766822,435.5578830869,20.2916666667,27.2205498353,4.4537328640,466.8421052632,2.1578947368,0.4601054876,92.1052631579,82.8947368421,365.5898585608,452.9685833813,415.8422802632,0.0000000000,0.0000000000,0.0000000000,436.5198237885,32.4801762115,6.9254107061,284.7577092511,256.2819383260,334.5514397832,604.6963225409,436.5203648282,469.0000000000,7.1692713793,7.1692713793,30.3222814746,30.3222814746,2.9878143204,3.9738095680,20.2916666667,27.2205498353
