date,controller,forecast_mae,forecast_rmse,forecast_mape,realized_peak,oracle_realized_peak,decision_regret,peak_reduction_regret
2017-12-02,LightGBM,6.9047031089,7.6390629873,1.6543731510,427.0752601127,416.0176211454,11.0576389674,11.0576389674
2017-12-02,Persistence,25.1250000000,31.3402031476,5.9945382884,450.1453744493,416.0176211454,34.1277533040,34.1277533040
2017-12-03,LightGBM,4.9508037784,5.5498038193,1.1849913578,422.8470098289,417.8201754386,5.0268343903,5.0268343903
2017-12-03,Persistence,4.3750000000,5.7915167846,1.0424695485,427.0176211454,417.8201754386,9.1974457068,9.1974457068
2017-12-04,LightGBM,6.9538171438,7.7692801377,1.6243565412,445.6629787220,432.9868995633,12.6760791587,12.6760791587
2017-12-04,Persistence,19.4583333333,23.2352103498,4.3798086334,459.8201754386,432.9868995633,26.8332758753,26.8332758753
2017-12-05,LightGBM,5.2164803196,5.9777607883,1.1967047473,450.9540102204,440.9559471366,9.9980630839,9.9980630839
2017-12-05,Persistence,9.5833333333,10.9810442734,2.2145941941,454.9868995633,440.9559471366,14.0309524268,14.0309524268
2017-12-06,LightGBM,4.5464291837,5.3940216922,1.0525680957,451.2604385215,440.4247787611,10.8356597605,10.8356597605
2017-12-06,Persistence,5.0000000000,5.6935636175,1.1448889996,453.9559471366,440.4247787611,13.5311683755,13.5311683755
2017-12-07,LightGBM,4.0312113584,4.8592239695,0.9371701095,448.3542067712,440.6150442478,7.7391625234,7.7391625234
2017-12-07,Persistence,5.2500000000,5.7735026919,1.2080073150,449.4247787611,440.6150442478,8.8097345133,8.8097345133
2017-12-08,LightGBM,4.7076089175,5.6457742716,1.0624391168,450.1647720908,441.4493392070,8.7154328837,8.7154328837
2017-12-08,Persistence,3.8750000000,4.5780272316,0.8894885464,448.6150442478,441.4493392070,7.1657050407,7.1657050407
2017-12-09,LightGBM,4.0565650663,5.0144238677,0.9754875187,423.6828967178,416.2444444444,7.4384522734,7.4384522734
2017-12-09,Persistence,24.2916666667,31.2629972971,5.7820703288,441.4493392070,416.2444444444,25.2048947626,25.2048947626
2017-12-10,LightGBM,3.3766461363,4.4931075752,0.8056694341,424.1932132151,415.8421052632,8.3511079519,8.3511079519
2017-12-10,Persistence,3.2083333333,3.9210967853,0.7667119931,424.2444444444,415.8421052632,8.4023391813,8.4023391813
2017-12-11,LightGBM,2.9878143204,3.9738095680,0.6858873200,443.6890951678,436.5198237885,7.1692713793,7.1692713793
2017-12-11,Persistence,20.2916666667,27.2205498353,4.4537328640,466.8421052632,436.5198237885,30.3222814746,30.3222814746
2017-12-12,LightGBM,3.5041405287,4.2048009901,0.8028286176,440.2360154829,436.0486725664,4.1873429166,4.1873429166
2017-12-12,Persistence,3.1666666667,3.8514066694,0.7190538689,442.5198237885,436.0486725664,6.4711512222,6.4711512222
2017-12-13,LightGBM,4.5718693552,5.6875695347,1.0319257121,450.6663017251,437.0929203540,13.5733813712,13.5733813712
2017-12-13,Persistence,4.0416666667,5.2161607848,0.9059315144,450.0486725664,437.0929203540,12.9557522124,12.9557522124
2017-12-14,LightGBM,2.7857791523,3.3719268087,0.6416857385,446.2645469436,436.8728070175,9.3917399260,9.3917399260
2017-12-14,Persistence,3.3333333333,4.5734742447,0.7511801620,449.0929203540,436.8728070175,12.2201133364,12.2201133364
2017-12-15,LightGBM,3.7463132479,5.0865674923,0.8385778928,446.4512446818,436.1725663717,10.2786783101,10.2786783101
2017-12-15,Persistence,4.3333333333,5.3150729064,0.9921262372,443.8728070175,436.1725663717,7.7002406459,7.7002406459
2017-12-16,LightGBM,5.1598896513,6.4045484074,1.2456123228,418.7640487134,412.1504424779,6.6136062355,6.6136062355
2017-12-16,Persistence,23.2083333333,29.5839201820,5.5850907170,435.1725663717,412.1504424779,23.0221238938,23.0221238938
2017-12-17,LightGBM,2.7596057124,3.5691470058,0.6697057934,417.0710256459,411.3612334802,5.7097921657,5.7097921657
2017-12-17,Persistence,2.2083333333,2.6060826285,0.5381798409,416.1504424779,411.3612334802,4.7892089977,4.7892089977
2017-12-18,LightGBM,3.5972139241,4.4446941761,0.8544325495,437.3496797295,431.0660792952,6.2836004343,6.2836004343
2017-12-18,Persistence,20.7500000000,26.0528309402,4.6447451501,457.3612334802,431.0660792952,26.2951541850,26.2951541850
2017-12-19,LightGBM,5.3251065136,6.7314697534,1.1957535283,449.4873039160,439.9911894273,9.4961144887,9.4961144887
2017-12-19,Persistence,9.1666666667,10.5118980208,2.1263984338,449.0660792952,439.9911894273,9.0748898678,9.0748898678
2017-12-20,LightGBM,5.7802465185,6.5205684871,1.3373687328,447.1153150212,435.7743362832,11.3409787380,11.3409787380
2017-12-20,Persistence,6.0000000000,7.2284161474,1.3700423215,449.9911894273,435.7743362832,14.2168531441,14.2168531441
2017-12-21,LightGBM,5.9454326641,6.6770200779,1.4080780836,439.1374814600,431.0396475771,8.0978338829,8.0978338829
2017-12-21,Persistence,5.4583333333,6.4839545546,1.2978550126,438.7743362832,431.0396475771,7.7346887061,7.7346887061
2017-12-22,LightGBM,16.1377560356,19.4769747107,3.9331001945,440.9836163594,412.9288888889,28.0547274705,28.0547274705
2017-12-22,Persistence,18.7916666667,22.6043874797,4.5733933326,442.0396475771,412.9288888889,29.1107586882,29.1107586882
2017-12-23,LightGBM,21.4177496524,21.6579136859,5.4789640175,398.0538801931,391.1409691630,6.9129110301,6.9129110301
2017-12-23,Persistence,21.9166666667,26.6630205841,5.6214721472,415.9288888889,391.1409691630,24.7879197259,24.7879197259
2017-12-24,LightGBM,28.0155496275,28.1949118465,7.1902297996,395.1001150393,389.8333333333,5.2667817060,5.2667817060
2017-12-24,Persistence,3.8333333333,4.4534630720,0.9821836276,397.1409691630,389.8333333333,7.3076358297,7.3076358297
2017-12-25,LightGBM,50.4218247728,52.8427836957,13.0591875476,407.5149689187,385.8991228070,21.6158461117,21.6158461117
2017-12-25,Persistence,3.9166666667,4.7958315233,1.0172461933,389.8333333333,385.8991228070,3.9342105263,3.9342105263
2017-12-26,LightGBM,44.8452228899,45.8237453006,11.5644374626,401.9931779201,388.2522123894,13.7409655307,13.7409655307
2017-12-26,Persistence,5.2083333333,6.0449703611,1.3330767234,395.8991228070,388.2522123894,7.6469104176,7.6469104176
2017-12-27,LightGBM,31.1893334935,35.0036258796,7.9175082224,426.4451887767,402.8165938865,23.6285948902,23.6285948902
2017-12-27,Persistence,14.1666666667,16.9656515741,3.4414985115,417.2522123894,402.8165938865,14.4356185029,14.4356185029
2017-12-28,LightGBM,16.3314121014,18.5437926873,4.0212641254,428.8743022740,411.9956140351,16.8786882389,16.8786882389
2017-12-28,Persistence,9.7083333333,12.0675183861,2.3804541507,431.8165938865,411.9956140351,19.8209798514,19.8209798514
2017-12-29,LightGBM,12.0159504239,14.7790060251,2.9912083143,423.6168397793,410.1858407080,13.4309990713,13.4309990713
2017-12-29,Persistence,2.9166666667,3.7859388972,0.7140400357,415.9956140351,410.1858407080,5.8097733271,5.8097733271
2017-12-30,LightGBM,7.3580365136,8.6208747830,1.8226020307,412.7162280326,405.4513274336,7.2649005990,7.2649005990
2017-12-30,Persistence,8.0833333333,10.4243305141,1.9875029208,418.1858407080,405.4513274336,12.7345132743,12.7345132743
2017-12-31,LightGBM,8.4219248167,9.1245467455,2.1078667935,406.2059178860,400.2035398230,6.0023780630,6.0023780630
2017-12-31,Persistence,5.1666666667,6.0690471520,1.2918775124,405.4513274336,400.2035398230,5.2477876106,5.2477876106
