date,forecast_mae_improvement,decision_regret_improvement,lgbm_forecast_better,lgbm_decision_better,category
2017-12-02,18.2202968911,23.0701143366,True,True,forecast better / decision better
2017-12-03,-0.5758037784,4.1706113165,False,True,forecast worse / decision better
2017-12-04,12.5045161895,14.1571967166,True,True,forecast better / decision better
2017-12-05,4.3668530138,4.0328893429,True,True,forecast better / decision better
2017-12-06,0.4535708163,2.6955086150,True,True,forecast better / decision better
2017-12-07,1.2187886416,1.0705719899,True,True,forecast better / decision better
2017-12-08,-0.8326089175,-1.5497278430,False,False,forecast worse / decision worse
2017-12-09,20.2351016004,17.7664424892,True,True,forecast better / decision better
2017-12-10,-0.1683128030,0.0512312294,False,True,forecast worse / decision better
2017-12-11,17.3038523463,23.1530100953,True,True,forecast better / decision better
2017-12-12,-0.3374738621,2.2838083056,False,True,forecast worse / decision better
2017-12-13,-0.5302026885,-0.6176291588,False,False,forecast worse / decision worse
2017-12-14,0.5475541810,2.8283734104,True,True,forecast better / decision better
2017-12-15,0.5870200854,-2.5784376643,True,False,forecast better / decision worse
2017-12-16,18.0484436821,16.4085176583,True,True,forecast better / decision better
2017-12-17,-0.5512723791,-0.9205831680,False,False,forecast worse / decision worse
2017-12-18,17.1527860759,20.0115537507,True,True,forecast better / decision better
2017-12-19,3.8415601530,-0.4212246208,True,False,forecast better / decision worse
2017-12-20,0.2197534815,2.8758744061,True,True,forecast better / decision better
2017-12-21,-0.4870993308,-0.3631451769,False,False,forecast worse / decision worse
2017-12-22,2.6539106310,1.0560312177,True,True,forecast better / decision better
2017-12-23,0.4989170143,17.8750086958,True,True,forecast better / decision better
2017-12-24,-24.1822162941,2.0408541237,False,True,forecast worse / decision better
2017-12-25,-46.5051581061,-17.6816355854,False,False,forecast worse / decision worse
2017-12-26,-39.6368895566,-6.0940551131,False,False,forecast worse / decision worse
2017-12-27,-17.0226668268,-9.1929763873,False,False,forecast worse / decision worse
2017-12-28,-6.6230787680,2.9422916124,False,True,forecast worse / decision better
2017-12-29,-9.0992837572,-7.6212257442,False,False,forecast worse / decision worse
2017-12-30,0.7252968197,5.4696126753,True,True,forecast better / decision better
2017-12-31,-3.2552581501,-0.7545904524,False,False,forecast worse / decision worse
