controller,battery_size,mean_daily_peak_phase5,max_peak_phase5,mean_peak_reduction_phase5,mean_peak_reduction_pct_phase5,p95_grid_load_phase5,PAR_phase5,total_charge_phase5,total_discharge_phase5,throughput_phase5,equivalent_full_cycles_phase5,oracle_capture_ratio_phase5,mean_daily_peak_phase5_6,max_peak_phase5_6,mean_peak_reduction_phase5_6,mean_peak_reduction_pct_phase5_6,p95_grid_load_phase5_6,PAR_phase5_6,total_charge_phase5_6,total_discharge_phase5_6,throughput_phase5_6,equivalent_full_cycles_phase5_6,oracle_capture_ratio_phase5_6,delta_mean_daily_peak,delta_max_peak,delta_mean_peak_reduction,delta_mean_peak_reduction_pct,delta_p95_grid_load,delta_PAR,delta_total_charge,delta_total_discharge,delta_throughput,delta_equivalent_full_cycles,delta_oracle_capture_ratio
LightGBM,Large,430.7310359956,451.2604385215,12.0022973378,2.5411791720,444.2238734423,1.0740366627,4906.3768361780,4415.7391525603,9322.1159887382,3.0130149708,0.5319801887,431.2991558057,453.8018392081,11.4341775277,2.4123509076,444.9493494705,1.0801905971,4611.7794648086,4150.6015183278,8762.3809831365,2.8321021873,0.5067993025,0.5681198101,2.5414006866,-0.5681198101,-0.1288282644,0.7254760282,0.0061539344,-294.5973713694,-265.1376342325,-559.7350056017,-0.1809127835,-0.0251808862
LightGBM,Medium,430.7310359956,451.2604385215,12.0022973378,2.5411791720,444.2238734423,1.0740366627,4906.3768361780,4415.7391525603,9322.1159887383,6.0260299415,0.5319801887,431.2991558057,453.8018392081,11.4341775277,2.4123509076,444.9493494705,1.0801905971,4611.7794648087,4150.6015183278,8762.3809831365,5.6642043745,0.5067993025,0.5681198101,2.5414006866,-0.5681198101,-0.1288282644,0.7254760282,0.0061539344,-294.5973713693,-265.1376342325,-559.7350056018,-0.3618255670,-0.0251808862
LightGBM,Small,432.4976742990,455.8495454850,10.2356590344,2.1651422315,447.7911675895,1.0852065453,4216.6345155012,3794.9710639511,8011.6055794523,10.3577718105,0.5062653366,432.7530977577,457.0337781705,9.9802355756,2.1035641615,448.5180227912,1.0880733781,4084.2706810424,3675.8436129381,7760.1142939805,10.0326323211,0.4936318517,0.2554234587,1.1842326855,-0.2554234588,-0.0615780700,0.7268552017,0.0028668328,-132.3638344588,-119.1274510130,-251.4912854718,-0.3251394894,-0.0126334849
No Battery,None,442.7333333333,483.0000000000,0.0000000000,0.0000000000,468.0000000000,1.1514469240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,442.7333333333,483.0000000000,0.0000000000,0.0000000000,468.0000000000,1.1514469240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
Oracle,Large,420.1717838771,441.4493392070,22.5615494562,4.9458832298,440.9559471366,1.0506401337,5036.8439153709,4533.1595238338,9570.0034392047,3.0931350422,1.0000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,440.9559471366,1.0506401337,5036.8439153709,4533.1595238338,9570.0034392047,3.0931350422,1.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000
Oracle,Medium,420.1717838771,441.4493392070,22.5615494562,4.9458832298,440.9559471366,1.0506401337,5036.8439153709,4533.1595238338,9570.0034392047,6.1862700845,1.0000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,440.9559471366,1.0506401337,5036.8439153709,4533.1595238338,9570.0034392047,6.1862700845,1.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000
Oracle,Small,422.5153600783,447.8062680150,20.2179732550,4.4479560858,446.5529811114,1.0660543968,4228.3400034181,3805.5060030763,8033.8460064944,10.3865252565,1.0000000000,422.5153600783,447.8062680150,20.2179732550,4.4479560858,446.5529811114,1.0660543968,4228.3400034181,3805.5060030763,8033.8460064944,10.3865252565,1.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Persistence,Large,434.6031783647,466.8421052632,8.1301549687,1.6836230395,448.0660792952,1.1109766827,5302.8842256901,4772.5958031212,10075.4800288113,3.2565108824,0.3603544599,434.6031783647,466.8421052632,8.1301549687,1.6836230395,448.0660792952,1.1109766827,5302.8842256901,4772.5958031212,10075.4800288113,3.2565108824,0.3603544599,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
Persistence,Medium,434.6031783647,466.8421052632,8.1301549687,1.6836230395,448.0660792952,1.1109766827,5302.8842256901,4772.5958031212,10075.4800288113,6.5130217648,0.3603544599,434.6031783647,466.8421052632,8.1301549687,1.6836230395,448.0660792952,1.1109766827,5302.8842256901,4772.5958031212,10075.4800288113,6.5130217648,0.3603544599,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
Persistence,Small,436.4888823906,466.8421052632,6.2444509428,1.2810584159,450.8207621194,1.1113003843,4421.6103437686,3979.4493093917,8401.0596531603,10.8612759317,0.3088564251,436.4888823906,466.8421052632,6.2444509428,1.2810584159,450.8207621194,1.1113003843,4421.6103437686,3979.4493093917,8401.0596531603,10.8612759317,0.3088564251,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000
