controller,battery_size,mean_daily_peak,max_peak,mean_peak_reduction,mean_peak_reduction_pct,p95_grid_load,PAR,total_charge,total_discharge,throughput,equivalent_full_cycles,soc_violations,power_violations,simultaneous_charge_discharge_violations,terminal_soc_violations,solver_failures,oracle_capture_ratio
No Battery,None,442.7333333333,483.0000000000,0.0000000000,0.0000000000,468.0000000000,1.1514469240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,0,0,0,
Persistence,Medium,434.6031783647,466.8421052632,8.1301549687,1.6836230395,448.0660792952,1.1109766827,5302.8842256901,4772.5958031212,10075.4800288113,6.5130217648,0,0,0,0,0,0.3603544599
LightGBM,Medium,431.2991558057,453.8018392081,11.4341775277,2.4123509076,444.9493494705,1.0801905971,4611.7794648087,4150.6015183278,8762.3809831365,5.6642043745,0,0,0,0,0,0.5067993025
Oracle,Medium,420.1717838771,441.4493392070,22.5615494562,4.9458832298,440.9559471366,1.0506401337,5036.8439153709,4533.1595238338,9570.0034392047,6.1862700845,0,0,0,0,0,1.0000000000
Persistence,Small,436.4888823906,466.8421052632,6.2444509428,1.2810584159,450.8207621194,1.1113003843,4421.6103437686,3979.4493093917,8401.0596531603,10.8612759317,0,0,0,0,0,0.3088564251
LightGBM,Small,432.7530977577,457.0337781705,9.9802355756,2.1035641615,448.5180227912,1.0880733781,4084.2706810424,3675.8436129381,7760.1142939805,10.0326323211,0,0,0,0,0,0.4936318517
Oracle,Small,422.5153600783,447.8062680150,20.2179732550,4.4479560858,446.5529811114,1.0660543968,4228.3400034181,3805.5060030763,8033.8460064944,10.3865252565,0,0,0,0,0,1.0000000000
Persistence,Large,434.6031783647,466.8421052632,8.1301549687,1.6836230395,448.0660792952,1.1109766827,5302.8842256901,4772.5958031212,10075.4800288113,3.2565108824,0,0,0,0,0,0.3603544599
LightGBM,Large,431.2991558057,453.8018392081,11.4341775277,2.4123509076,444.9493494705,1.0801905971,4611.7794648086,4150.6015183278,8762.3809831365,2.8321021873,0,0,0,0,0,0.5067993025
Oracle,Large,420.1717838771,441.4493392070,22.5615494562,4.9458832298,440.9559471366,1.0506401337,5036.8439153709,4533.1595238338,9570.0034392047,3.0931350422,0,0,0,0,0,1.0000000000
