date,method,solver_success,solver_status,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-02,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-03,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-04,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-05,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-06,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-07,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-08,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-09,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-10,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-11,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-12,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-13,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-14,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-15,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-16,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-17,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-18,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-19,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-20,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-21,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-22,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-23,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-24,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-25,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-26,Persistence deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
