date,deterministic_actual_peak,robust_actual_peak,robust_minus_deterministic
2017-12-02,424.0461410624,434.7340168587,10.6878757963
2017-12-03,425.3015738768,434.5226588244,9.2210849476
2017-12-04,445.0430826662,456.1687894578,11.1257067915
2017-12-05,451.9984577965,462.8343088817,10.8358510851
2017-12-06,452.5348902399,465.9343938489,13.3995036090
2017-12-07,450.9629696558,458.2593465429,7.2963768871
2017-12-08,452.9082453009,452.6539426879,-0.2543026130
2017-12-09,422.4894676472,431.2961317094,8.8066640623
2017-12-10,423.2759457204,435.7877620009,12.5118162806
2017-12-11,443.6954082187,452.9380346041,9.2426263854
2017-12-12,441.3275948663,453.8804224329,12.5528275666
2017-12-13,453.8018392081,459.1688015435,5.3669623354
2017-12-14,447.2633634602,456.9932506635,9.7298872033
2017-12-15,448.8878085679,457.1215272714,8.2337187036
2017-12-16,417.8966056347,427.8950782165,9.9984725818
2017-12-17,419.0217628944,428.1038718423,9.0821089479
2017-12-18,439.8755211761,448.9548790577,9.0793578816
2017-12-19,447.8937642808,457.8771310576,9.9833667768
2017-12-20,443.2903337975,455.5606734233,12.2703396258
2017-12-21,440.3782836114,450.0119965526,9.6337129412
2017-12-22,441.5190078506,454.8379897562,13.3189819056
2017-12-23,403.6673386034,410.7773400633,7.1100014599
2017-12-24,396.8207553075,407.1199014103,10.2991461029
2017-12-25,409.6520917541,416.1642189187,6.5121271647
2017-12-26,401.3937365546,413.0987810256,11.7050444709
2017-12-27,423.1545647447,429.6638372229,6.5092724781
2017-12-28,425.6316674442,434.2653421139,8.6336746697
2017-12-29,422.2276818282,429.3746248765,7.1469430483
2017-12-30,413.0309968208,422.2649529747,9.2339561539
2017-12-31,409.9837735795,420.7950705891,10.8112970096
