group,count,mean,std,min,p10,median,p90,max,mae,rmse
overall,720,-0.1649916763,18.5162094064,-58.4223648390,-11.6948269990,0.1637940920,8.7796731633,399.8590952488,7.6362581170,18.5040820487
hour_00,30,-1.6099834109,5.9093646806,-15.0912006258,-8.6926744514,-0.9818679553,4.8546819324,6.7434177865,4.8267288418,6.0289814906
hour_01,30,-0.8415982693,5.7815586197,-15.5120601432,-7.3766343204,-0.1839215982,5.2060334006,8.4563591611,4.4889089446,5.7463461188
hour_02,30,11.0020564565,73.9679658069,-31.2303890785,-15.0122753521,-0.1165515922,8.2455929835,399.8590952488,19.3412677118,73.5522255251
hour_03,30,-0.2641221984,5.9495158015,-16.6699273182,-6.9794817699,1.0383602521,5.6675058377,9.6310160704,4.5780011203,5.8554767126
hour_04,30,-0.9207903538,4.9367511853,-11.9357356974,-7.3132855585,-0.6617764332,5.2750734978,6.9695007465,4.0480906649,4.9403424374
hour_05,30,-0.5103964923,4.3818503249,-9.5096563801,-6.8066408155,0.8438039710,4.3330839599,7.5775802971,3.5793773229,4.3383287612
hour_06,30,-1.2887611563,4.7594250731,-13.5204761829,-6.6642062867,-1.4181230728,3.9168168708,6.2668516852,3.8868723510,4.8536544421
hour_07,30,-0.7806854468,6.4187200223,-15.4909974539,-11.7208617867,0.1551371506,5.8114525388,13.2413175425,4.8366111516,6.3589389262
hour_08,30,-2.6258503179,9.7815061422,-24.2159365734,-14.9969611070,-1.0857863259,7.9046456232,17.5868098295,7.4363910811,9.9691368845
hour_09,30,-0.7439309157,11.8058743716,-35.9594167150,-13.3385031140,1.1390447866,9.0686201668,31.4403706772,8.0108389999,11.6312573365
hour_10,30,-2.0089964917,13.6339270703,-46.1155886592,-11.7042832360,-0.2239006377,7.6206875088,35.3738053371,8.8668033713,13.5544790389
hour_11,30,-0.7852944723,15.4288891622,-48.0701928002,-12.7315490659,0.1332184188,14.6593840564,42.7346450557,9.7190039520,15.1898745056
hour_12,30,-0.7599289762,14.6173171112,-42.4932832730,-15.0082626521,-0.4251081883,9.3081326642,37.5636925953,9.1978615536,14.3917077836
hour_13,30,-0.6973821379,14.1708297370,-49.4199431983,-14.1020054739,-0.0269660023,9.4330246890,29.4599451105,8.1636726302,13.9500899675
hour_14,30,-0.0315177569,15.3556210835,-55.8623669547,-12.1788735662,0.6597819261,9.5190405147,34.1433234432,9.4348707064,15.0975579350
hour_15,30,0.3706191825,15.2737565714,-54.6885241155,-9.8599825641,1.0637588520,10.8341688220,38.5336515869,9.2734144364,15.0216092254
hour_16,30,0.4448055238,15.1955354484,-58.4223648390,-11.8832495076,1.1820398350,8.1924841766,34.1611242105,8.4039149302,14.9467501350
hour_17,30,0.7165267102,14.2927202685,-48.3411596356,-8.9283774354,1.2750135209,12.0302204477,33.9005644224,9.2237257195,14.0707451157
hour_18,30,-0.0369651153,13.0823301319,-43.7139096801,-12.1511357572,0.6427458074,10.0544645623,34.5941989656,8.2859679753,12.8624964935
hour_19,30,0.9641706290,11.0441639930,-38.3079130824,-8.2989119636,2.8544747371,12.6514112185,21.5593198229,7.8509271314,10.9012567179
hour_20,30,0.5564627680,10.8623329372,-35.4729456515,-8.8050468964,2.9030620589,12.3614470873,16.3172599398,8.0463927373,10.6942469778
hour_21,30,-1.0949823262,9.8916652403,-35.3577938358,-10.4609464114,-0.3997829066,9.6151968090,12.2734749998,7.1241775777,9.7868547628
hour_22,30,-1.7069220432,9.6273879836,-31.3162840688,-11.3665283245,-1.8976635087,9.7649544813,10.8839426349,7.4936942056,9.6182445870
hour_23,30,-1.3063336208,9.2293323290,-28.7925762416,-10.7090028428,-0.8214485235,8.8120165810,15.6343102695,7.1526796903,9.1677549192
