date,method,lambda,alpha,scenario_count,residual_block_count,negative_values_clipped,sampled_indices_sha256,scenario_min_load,scenario_max_load,scenario_expected_peak,scenario_cvar_peak,stage
2017-11-02,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,d0dbb367106e6d0c4a492dbc468ee77065fea5bf289652ca8335940f4e51bd74,380.1379203663,811.2274046936,452.5842017071,545.6471688935,validation_selection
2017-11-03,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,9bf981bf3ee19680c9836771015db30e0763455415d044ed81920f7e9e153737,378.2862668586,809.3757511859,457.6073476569,605.6513977412,validation_selection
2017-11-04,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,c26be4ca86b4872ac4b8a3e218ff3354a7b508ffd20e878666860e5e859522aa,364.8928841409,806.0221945965,430.7488922709,519.2522394972,validation_selection
2017-11-05,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,21b79d3ef63370cf551a41e769c05d5094b1d4452150e57736e14030071500a6,360.7690309698,807.0000000000,439.6335308480,540.3890824820,validation_selection
2017-11-06,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,ca41ee442837a0fb409e21869518fb371c9537046adb0afc21894d59ebab6e2b,382.8758770907,842.0894843273,461.6501749485,621.4205509457,validation_selection
2017-11-07,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,ee636a47be34d1e0cddd6d008931ec8ca12f9f5fb0c70586754ecd8290662841,382.3236369246,813.4131212518,472.1811663438,560.1739007234,validation_selection
2017-11-08,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,1a4e52def0b92efe9dd3edb73f854f9bc4769fdff44ba12c3c46bd81908e35e9,397.3944968596,828.7250986108,459.2663701190,519.7031262726,validation_selection
2017-11-09,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,b616c864ef4a6fce30af0f19121a010fe8ed3a90aa2907b53234612f8b71f46f,398.3953917278,830.2631094414,477.2846866861,600.8639251407,validation_selection
2017-11-10,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,b7cdbce94cda00a19505661230bdce68dad5822f75494beb156da6e24befbaaa,382.8396147582,813.9290990855,470.7087943669,559.0759928262,validation_selection
2017-11-11,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,879057dd83e8ac775b5dfc8415692acb7a0f7408d3c85c368550ca57cf856300,377.0589330255,811.2639616091,440.2375797818,528.8713318930,validation_selection
2017-11-12,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,a615ce48625555050770956be892a11656ceb58b6cea1ae433c7e1df91623bbb,366.8662190073,811.9339739114,440.2935197945,562.3829535170,validation_selection
2017-11-13,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,fef5285570f1f5d1239740e1c0040d57849192b7cf494ef40fbedbfd61ccc30f,383.7542736018,814.8437579291,457.8404661663,547.2559556638,validation_selection
2017-11-14,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,d3f723ae6ebe4dece7ee0f9c00809a106ff44974da2320e842dc729c1f9e626a,382.4420349933,813.5315193205,473.9200840004,560.0632134344,validation_selection
2017-11-15,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,ff01f1f1b68682257153fb99b6225fb47dbe33620698f31a40b735f293facbbb,387.1057986565,818.1952829837,469.1854484965,592.2408077184,validation_selection
2017-11-16,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,00288f5d019b6a997fbb64313a389364b886ae92f94674ac57c10b666e1681a2,386.4932399123,817.5827242396,473.0209941725,562.3692915969,validation_selection
2017-11-17,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,fe2a72033d3a3cdf73df31943d2821b3d160aff7b8ea8de5cef097c4f8b9827b,380.9718916250,812.0613759523,459.6068487554,549.3700059062,validation_selection
2017-11-18,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,ba34045b6391cad3c03bf1aa6e1cfe435d67ec3f5e200dd0f8b134c4cb08ebd9,376.0070384331,815.3323520341,450.9789723969,550.3864773939,validation_selection
2017-11-19,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,5449bd2d7b1901d526908f12dcf4f82c36f30ff87d850dd333d1ad64134e3acc,363.3792834464,814.9515343627,433.0183164466,516.2436051972,validation_selection
2017-11-20,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,e3bbebf5dd88f3a590ed89597a5e73e936195d0f4aa897021f2c5b56999c662b,382.7746912461,813.8641755733,469.4395056607,586.7755015089,validation_selection
2017-11-21,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,253d2f933ee66eacd61f5490ef811e6e79628e3f8065c39678243817e14e13bb,388.4085055274,819.4979898547,467.6954931793,589.4409800263,validation_selection
2017-11-22,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,661bc727be71d8edaa3e33568ece41dcba5e83f5a51d4a7f15021710b06a4fec,387.5853653061,818.6748496333,469.8840507712,593.5497666711,validation_selection
2017-11-23,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,931771aca333a1c5899c673b62d92ab32b17b396510d27397dcae75f3c021fba,397.8106831967,828.9001675239,464.7064939409,553.9578185612,validation_selection
2017-11-24,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,21814eac795e36fbba04e5fc024883245775e63b43688e1644c7992c1851b71e,374.2179774508,812.9040711171,449.0035223943,547.3482185357,validation_selection
2017-11-25,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,005a041732f29605c638a31f881d1949b004a612dedf73ce016ad269a6a83e2a,366.3815161930,810.3395584344,429.7142906961,487.6608400420,validation_selection
2017-11-26,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,a4cebfda7b387a30ef6a72c4af89e7ffa8ca5ca3433ffc38009397d05229e7c5,365.6693618798,809.8247892502,439.3771538104,562.8375920442,validation_selection
2017-11-27,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,761cab3b51ec5d5b59e2b85ac206992ba1834ecaff86171c02911d0bcd6d0d0d,376.5106060038,811.0300131194,454.6338816744,565.4160219267,validation_selection
2017-11-28,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,73dce5ed42a33a9d0fefab32153fb3a2c71f7d20ef16399876f2b2293a132cd3,388.8630034607,819.9524877880,476.6066818231,593.1510739707,validation_selection
2017-11-29,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,5136e6e28db8175fbce8e7e9644a66543675d46d72fd099bac0a5a57e1ba38a1,385.2671107685,816.3565950958,465.1720296736,556.8387622093,validation_selection
2017-11-30,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,d09735943278a140cfe26c8789cfbcd017ae57fe6376f10dd185e4af08fcbdd7,391.0983341848,822.1878185120,472.0637422315,620.0292685304,validation_selection
2017-12-01,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,4c61bdbb8c56582fb5f1de2187f17c097b8d1cb2b84218c0c6be27060c528ccb,379.3474180027,810.4369023300,460.2214650632,606.6719926916,validation_selection
