date,method,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-02,Persistence,True,0,0,0,0,5.115907697472721e-12,0.0,0.0,0
2017-12-03,Persistence,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-04,Persistence,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-05,Persistence,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
2017-12-06,Persistence,True,0,0,0,0,3.0127011996228248e-12,0.0,0.0,0
2017-12-07,Persistence,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-08,Persistence,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
2017-12-09,Persistence,True,0,0,0,0,3.979039320256561e-12,0.0,0.0,0
2017-12-10,Persistence,True,0,0,0,0,5.4001247917767614e-12,0.0,0.0,0
2017-12-11,Persistence,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
2017-12-12,Persistence,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-13,Persistence,True,0,0,0,0,4.206412995699793e-12,0.0,0.0,0
2017-12-14,Persistence,True,0,0,0,0,4.774847184307873e-12,0.0,0.0,0
2017-12-15,Persistence,True,0,0,0,0,1.7053025658242404e-12,0.0,0.0,0
2017-12-16,Persistence,True,0,0,0,0,3.296918293926865e-12,0.0,0.0,0
2017-12-17,Persistence,True,0,0,0,0,4.718003765447065e-12,0.0,0.0,0
2017-12-18,Persistence,True,0,0,0,0,2.3874235921539366e-12,0.0,0.0,0
2017-12-19,Persistence,True,0,0,0,0,1.9895196601282805e-12,0.0,0.0,0
2017-12-20,Persistence,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-21,Persistence,True,0,0,0,0,3.183231456205249e-12,0.0,0.0,0
2017-12-22,Persistence,True,0,0,0,0,4.092726157978177e-12,0.0,0.0,0
2017-12-23,Persistence,True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
2017-12-24,Persistence,True,0,0,0,0,3.524291969370097e-12,0.0,0.0,0
2017-12-25,Persistence,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-26,Persistence,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
