building,primaryspaceusage,quality_pass,quality_failure_reasons,train_valid_samples,validation_valid_samples,test_valid_samples,mean_load,std,coefficient_of_variation,min,max,p95,peak_to_average_ratio,peak_valley_range,normalized_peak_valley_range,lag24_autocorrelation,lag168_autocorrelation,weekday_weekend_difference,weekday_weekend_difference_normalized,daily_profile_variability,daily_profile_variability_normalized,robust_outlier_fraction,zero_fraction,missing_fraction,validation_missing_fraction,test_missing_fraction,negative_count,log_mean_load,morphology_data_scope,quality_coverage_scope,causal_train_samples,causal_validation_samples,causal_test_samples,selected,selection_order
Hog_office_Alexis,Office,True,,16078,720,744,19.39183903470581,13.561979412137937,0.6993653045420756,4.461,73.862,48.74145000000001,3.808921880374949,69.401,3.5788766540291603,0.65632194110955,0.8311722773771094,12.403780761595769,0.6396392183019141,10.083874692469864,0.5200061053736384,0.0,0.0,0.0001243781094527363,0.0,0.0,0,3.0151347734915523,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15402,720,720,True,6.0
Hog_office_Byron,Office,True,,15959,720,744,954.2118300645404,195.92506989263816,0.20532659910471482,219.0,1816.289,1284.8919999999998,1.9034442277635049,1597.289,1.6739354404063125,0.7157034477440535,0.8758828223363115,198.02223312773265,0.20752439541054415,135.25165300624417,0.1417417482626432,0.0,0.0,0.007524875621890547,0.0,0.0,0,6.861933127470084,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15342,720,720,True,7.0
Hog_office_Joey,Office,True,,16078,720,744,1196.639632541361,564.7370550866677,0.4719357772626238,54.157,3566.656,2703.7413999999994,2.9805598135048577,3512.499,2.93530224512148,0.6123911860534211,0.46742349679167905,210.29954157997213,0.1757417486945079,535.343547476983,0.44737240261719247,0.07077994775469586,0.0,0.0001243781094527363,0.0,0.0,0,7.088107925862257,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15402,720,720,True,2.0
Hog_office_Lavon,Office,True,,16080,720,744,291.7353025497512,447.87892697909984,1.5352236190295159,0.012,3008.786,1244.84405,10.313410731246334,3008.774,10.313369598068773,0.7161707032411327,0.39034005631376134,98.44694451254506,0.3374529707310837,426.2036361016676,1.4609258200041964,0.01996268656716418,0.0,0.0,0.0,0.0,0,5.679268796434437,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15744,720,720,True,1.0
Hog_office_Rolando,Office,True,,16079,720,744,299.22868337583185,167.86872055480424,0.5610047762164591,51.0,853.0,508.0,2.850662544702074,802.0,2.680224338629617,0.9907783567975552,0.9731213474763276,21.276213559979738,0.07110352296426332,166.9269956875589,0.5578576017657313,0.0,0.0,6.218905472636816e-05,0.0,0.0,0,5.704544462189388,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15573,720,720,True,0.0
Lamb_office_Caitlin,Office,True,,16080,720,744,22.13233762437811,34.659193095525595,1.5659978482051315,0.0018,157.1,108.20499999999993,7.09821089241649,157.0982,7.098129563456551,0.7597858551649925,0.8614374984863769,20.489784442555795,0.9257849211547771,27.78224356375487,1.2552783187779297,0.1342039800995025,0.0,0.0,0.0,0.0,0,3.1412315357444514,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15744,720,720,True,3.0
Lamb_office_Gerardo,Office,True,,16034,720,744,8.73255032431084,10.790419873743232,1.23565504612134,0.0018,64.0,32.1,7.3289013659421185,63.9982,7.328695240591201,0.7715606839020043,0.7950351816062688,6.083968800126296,0.6967001132749194,9.515880294147427,1.0897023138424808,0.008856180616190595,0.0,0.0028606965174129352,0.0,0.0,0,2.275475971237715,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15268,720,720,True,5.0
Robin_office_Addie,Office,True,,16080,720,744,20.834427904228853,6.385860856107149,0.3065052174920043,0.1269,46.3,32.4,2.222283242565172,46.1731,2.21619236257637,0.6378910818222886,0.5501840646493318,5.111536611968273,0.2453408673117807,5.350856405875347,0.25682761391251163,0.0,0.0,0.0,0.0,0.0,0,3.0834879857345943,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,15744,720,720,True,4.0
Bobcat_office_Alma,Office,False,train_missing;validation_missing;test_missing;validation_coverage;test_coverage,14882,714,728,4.507018740760651,1.851145179778979,0.4107249794720314,1.0,14.0,8.0,3.106266205060691,13.0,2.884390047556356,0.5657265175259578,0.5240410661868952,0.905168827808116,0.2008353814067679,1.6101071175077724,0.35724438040300543,0.004905254670071227,0.0,0.07450248756218905,0.008333333333333333,0.021505376344086023,0,1.7060234133543888,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,0,0,0,False,
Bobcat_office_Justine,Office,False,train_missing;validation_missing;test_missing;validation_coverage;test_coverage,12373,718,743,19.18963671704518,8.511499940199853,0.443546694796964,0.75,94.63,35.38,4.931307527877533,93.88,4.892223932337977,0.6022271269652584,0.6804584104195397,2.5807687004942323,0.13448762676168155,7.205252128397711,0.3754762132624247,0.0006465691424876748,0.0,0.23053482587064678,0.002777777777777778,0.0013440860215053765,0,3.0051694389506416,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,0,0,0,False,
Bobcat_office_Kassandra,Office,False,train_missing;validation_missing;test_missing;validation_coverage;test_coverage,13631,716,250,52.15731575819822,28.465471690928876,0.5457618222320921,4.62,226.5,104.53,4.342631454618102,221.88,4.254053276603375,0.7002803735007455,0.9123704244476979,26.801560818366426,0.5138600487536341,19.843029229937425,0.3804457522685769,7.336218912772357e-05,0.0,0.15230099502487562,0.005555555555555556,0.6639784946236559,0,3.9732557389320906,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,0,0,0,False,
Bobcat_office_Melody,Office,False,train_missing;validation_missing;test_missing;validation_coverage;test_coverage,12475,716,741,49.56023672144289,12.376962425534256,0.2497357406725057,4.87,100.1199,68.62,2.020165895549119,95.2499,1.9219016352839347,0.8367753890672763,0.7800820168592639,6.0536587021670485,0.12214749368918679,11.801488672207407,0.23812413848098787,0.0,0.0,0.22419154228855723,0.005555555555555556,0.004032258064516129,0,3.923165431818205,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,0,0,0,False,
Bobcat_office_Nikita,Office,False,train_missing;validation_missing;validation_coverage,14886,717,744,39.315283790138395,17.331086824235822,0.4408231393355234,3.75,118.5017,75.75,3.0141382326667636,114.7517,2.918755479740009,0.6229757003888555,0.8432717489894787,14.875254997756134,0.3783580725795842,12.73762103303529,0.32398649596496915,0.0002687088539567379,0.0,0.07425373134328359,0.004166666666666667,0.0,0,3.6967306474310337,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,0,0,0,False,
Bull_office_Anne,Office,False,train_missing;validation_missing;test_missing;validation_coverage;test_coverage,15836,640,728,20.77238570346047,2.485812410662354,0.11966908597543724,4.0,55.0,25.0,2.6477459443109397,51.0,2.4551826029065076,0.4436373580924855,0.7246078474014096,2.9715475019116973,0.14305277902752728,1.9852172524265057,0.0955700168852434,0.0010103561505430665,0.0,0.01517412935323383,0.1111111111111111,0.021505376344086023,0,3.0806424559882695,Train raw load only,Train/Validation/Test raw availability only; no model or decision metrics,0,0,0,False,
