building,split,date,method,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
Hog_office_Rolando,validation,2017-11-02,Oracle,True,0,0,0,0,2.6147972675971687e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-03,Oracle,True,0,0,0,0,5.002220859751105e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-04,Oracle,True,0,0,0,0,1.9895196601282805e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-05,Oracle,True,0,0,0,0,0.0,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-06,Oracle,True,0,0,0,0,2.6147972675971687e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-07,Oracle,True,0,0,0,0,5.115907697472721e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-08,Oracle,True,0,0,0,0,4.547473508864641e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-09,Oracle,True,0,0,0,0,4.092726157978177e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-10,Oracle,True,0,0,0,0,3.751665644813329e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-11,Oracle,True,0,0,0,0,7.958078640513122e-13,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-12,Oracle,True,0,0,0,0,2.5011104298755527e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-13,Oracle,True,0,0,0,0,3.808509063674137e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-14,Oracle,True,0,0,0,0,6.423306331271306e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-15,Oracle,True,0,0,0,0,1.3642420526593924e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-16,Oracle,True,0,0,0,0,5.059064278611913e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-17,Oracle,True,0,0,0,0,4.320099833421409e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-18,Oracle,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
