row_scope,building,model_a,model_b,mean_daily_peak_difference_a_minus_b,median_daily_peak_difference_a_minus_b,mean_normalized_daily_peak_difference,daily_a_better,daily_equal,daily_a_worse,normalized_MAE_difference_a_minus_b,normalized_regret_difference_a_minus_b,across_building_a_better,across_building_equal,across_building_a_worse,median_normalized_improvement_a_vs_b,mean_normalized_improvement_a_vs_b
building,Hog_office_Alexis,DayWeek,LightGBM,0.5222186728701921,0.4138965502016436,0.026979110452460653,11,0,19,0.020285709146464645,0.026979110452460698,,,,,
building,Hog_office_Alexis,DayWeek,XGBoost,0.5332984500371142,0.5677179695948258,0.02755151919137479,12,0,18,0.014718361875733374,0.027551519191374833,,,,,
building,Hog_office_Alexis,DayWeek,CatBoost,0.5918239541810926,0.22701885226059026,0.030575091734095457,14,0,16,0.007301619999093956,0.030575091734095502,,,,,
building,Hog_office_Alexis,LightGBM,XGBoost,0.011079777166922137,0.03539102569834185,0.0005724087389141427,14,0,16,-0.005567347270731271,0.0005724087389141351,,,,,
building,Hog_office_Alexis,LightGBM,CatBoost,0.06960528131090046,-0.017982122880086493,0.003595981281634802,15,0,15,-0.01298408914737069,0.0035959812816348034,,,,,
building,Hog_office_Alexis,XGBoost,CatBoost,0.05852550414397832,-0.014513242900951795,0.003023572542720659,16,0,14,-0.007416741876639418,0.0030235725427206683,,,,,
building,Hog_office_Byron,DayWeek,LightGBM,11.631994176587826,5.886444197668595,0.012206848702346106,12,0,18,0.010449748189938234,0.012206848702346089,,,,,
building,Hog_office_Byron,DayWeek,XGBoost,11.226044979700044,8.557181939552834,0.011780837448212062,9,0,21,0.011555341072579564,0.01178083744821206,,,,,
building,Hog_office_Byron,DayWeek,CatBoost,9.126926218336557,5.405263846614616,0.00957797998978985,13,0,17,0.01292951286738694,0.00957797998978985,,,,,
building,Hog_office_Byron,LightGBM,XGBoost,-0.4059491968877827,-0.10949768160270423,-0.0004260112541340438,16,0,14,0.0011055928826413305,-0.0004260112541340284,,,,,
building,Hog_office_Byron,LightGBM,CatBoost,-2.5050679582512694,-1.9573476125417528,-0.002628868712556257,18,0,12,0.002479764677448707,-0.0026288687125562396,,,,,
building,Hog_office_Byron,XGBoost,CatBoost,-2.0991187613634867,0.43270272471556837,-0.0022028574584222133,15,0,15,0.0013741717948073766,-0.0022028574584222116,,,,,
building,Hog_office_Joey,DayWeek,LightGBM,-1.6639269760793658,-8.92433391986242,-0.0013973952074643743,20,0,10,-0.001821318140086882,-0.001397395207464375,,,,,
building,Hog_office_Joey,DayWeek,XGBoost,-6.93581136486157,-17.025239924570883,-0.005824816653896359,22,0,8,-0.0030278174213980782,-0.0058248166538963425,,,,,
building,Hog_office_Joey,DayWeek,CatBoost,2.6922436353749957,-5.020784354240391,0.0022609936658783024,16,0,14,-0.003494942073400238,0.002260993665878312,,,,,
building,Hog_office_Joey,LightGBM,XGBoost,-5.271884388782204,-4.606486984804633,-0.004427421446431984,19,0,11,-0.0012064992813111963,-0.004427421446431967,,,,,
building,Hog_office_Joey,LightGBM,CatBoost,4.3561706114543615,3.2788031898854797,0.0036583888733426762,12,0,18,-0.0016736239333133562,0.0036583888733426866,,,,,
building,Hog_office_Joey,XGBoost,CatBoost,9.628055000236566,11.697416194210518,0.008085810319774662,6,0,24,-0.0004671246520021599,0.008085810319774654,,,,,
building,Hog_office_Lavon,DayWeek,LightGBM,-1.9712724556018815,-1.6024115510135841,-0.006626057611130389,23,0,7,-0.03481479289694007,-0.006626057611130388,,,,,
building,Hog_office_Lavon,DayWeek,XGBoost,-3.62489020113837,-2.974579840969769,-0.012184379302064216,30,0,0,-0.03563388227638372,-0.012184379302064216,,,,,
building,Hog_office_Lavon,DayWeek,CatBoost,-11.81915929994121,-7.148091123755437,-0.039727857107721073,30,0,0,-0.040180565121422325,-0.039727857107721073,,,,,
building,Hog_office_Lavon,LightGBM,XGBoost,-1.6536177455364887,-1.6261374197365726,-0.005558321690933826,24,0,6,-0.0008190893794436521,-0.005558321690933828,,,,,
building,Hog_office_Lavon,LightGBM,CatBoost,-9.84788684433933,-5.4785183456655435,-0.033101799496590686,28,0,2,-0.005365772224482257,-0.033101799496590686,,,,,
building,Hog_office_Lavon,XGBoost,CatBoost,-8.19426909880284,-3.4092265118865193,-0.027543477805656857,26,0,4,-0.004546682845038605,-0.02754347780565686,,,,,
building,Hog_office_Rolando,DayWeek,LightGBM,0.3012586333358797,-0.02371965819588695,0.0009866852086496947,15,0,15,-0.00890046168560581,0.0009866852086496912,,,,,
building,Hog_office_Rolando,DayWeek,XGBoost,0.3595415463763686,-0.2697118356673798,0.0011775739728231388,15,0,15,0.0019237158085775828,0.0011775739728231377,,,,,
building,Hog_office_Rolando,DayWeek,CatBoost,-0.029173775324852613,0.4852831329285152,-9.555023295019775e-05,13,0,17,-0.0017803137603913353,-9.555023295020008e-05,,,,,
building,Hog_office_Rolando,LightGBM,XGBoost,0.058282913040488896,0.19770019572635533,0.00019088876417344407,11,0,19,0.010824177494183393,0.0001908887641734464,,,,,
building,Hog_office_Rolando,LightGBM,CatBoost,-0.3304324086607323,0.10648037576504521,-0.0010822354415998925,12,0,18,0.007120147925214475,-0.0010822354415998914,,,,,
building,Hog_office_Rolando,XGBoost,CatBoost,-0.38871532170122125,-0.6952269921794993,-0.0012731242057733366,17,0,13,-0.003704029568968918,-0.0012731242057733376,,,,,
building,Lamb_office_Caitlin,DayWeek,LightGBM,0.4166069091884725,0.489133192227996,0.019382202374682553,13,1,16,0.12872097050759296,0.019382202374682526,,,,,
building,Lamb_office_Caitlin,DayWeek,XGBoost,-0.33110746751323533,0.13196841219581046,-0.015404429935190646,14,1,15,0.14022287075153678,-0.015404429935190696,,,,,
building,Lamb_office_Caitlin,DayWeek,CatBoost,0.13008224935475454,-0.6767235072968454,0.006051941114608705,17,0,13,0.0019558846344431835,0.0060519411146087,,,,,
building,Lamb_office_Caitlin,LightGBM,XGBoost,-0.7477143767017078,-0.28132765577074803,-0.0347866323098732,18,0,12,0.011501900243943819,-0.03478663230987322,,,,,
building,Lamb_office_Caitlin,LightGBM,CatBoost,-0.28652465983371794,-0.0896360824219613,-0.013330261260073849,16,0,14,-0.12676508587314977,-0.013330261260073827,,,,,
